name,workday,NAME_1,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank,Labour Day,Have to work,weekend,Transfer Lines,FDof Study Area,FM of Study Area,FAR of Study Area,BD of Study Area,Distance to city center,FD of Regulated Area,FM of Regulated Area,FAR of Regulated Area,BD of Regulated Area,Road Density,Balance Coefficient,Peak Hour Coefficient,Subway Inflow/Outflow,Bus Inflow/Outflow
南锣鼓巷,672.1754385964912,D0,0.0090702947845804,0.0969903112760255,0.093714004343659,1.6769546776420438e-10,0.0034497381330917,1358.0394736842106,592.6315789473684,486.05263157894734,2,1620,4.03314236148834,1.765995298111056,0.3857772511891158,3.136553595364538,197,3.795382206411643,0.2168387156352068,0.0473532985844693,18.73795691382978,1.6930508830401594,2.465838235656076,0.8209846650524616,0.8217249984066831
同济南路,539.1261261261261,D1,0.0045351473922902,0.0017522160379303,0.0606976989205058,2.445759749036514e-08,0.0022583858827886,442.53333333333336,589.2222222222222,390.8421052631579,1,461,2.726272360950817,1.3222849683637403,0.21615874987834,18.793404716624888,208,2.81394713905547,0.4117295975030612,0.0624220812600355,11.903166533418345,1.7657274233222953,2.720200260214989,1.0345322133025388,0.0
后沙峪,574.921052631579,D1,0.0045351473922902,0.0178932178932178,0.0496825500414875,5.924074580481001e-22,0.0030697772718766,384.5,561.2631578947369,342.6842105263158,1,357,3.4803729542372093,0.575998344254848,0.1020568523246044,26.965862194872315,48,2.552229142699323,0.06708373045993,0.0199359280202569,20.714129392244065,1.9522803113580776,3.0323367615746126,1.031243114212266,0.8438703504365506
和平里北街,639.2017543859649,D0,0.0045351473922902,0.0208410636982065,0.0839807737766921,1.8373613266361968e-10,0.0013432895543405,288.38157894736844,578.6842105263158,333.1578947368421,1,1757,4.205362362533998,1.5663287127164172,0.2577486797260208,6.038497327000001,296,3.807980111143316,0.2151691309882303,0.0380773094623476,18.350523600705607,2.7688769844999808,3.793958456259471,0.9782781311891353,0.9609855433175218
和平门,363.3070175438597,D0,0.0045351473922902,0.0500412286126571,0.086969293915087,1.1920277410456903e-11,0.0014352147572896,487.0263157894737,337.4736842105263,190.73684210526315,1,1397,4.124871154640327,1.719416638038806,0.307705401826054,1.7538503373938106,223,3.880272125166582,0.2115881487791198,0.0369278515539966,21.98586022166177,2.7024810792155214,3.2540532705786256,0.953568555338467,1.3521483853749665
国展,373.5877192982456,D1,0.0045351473922902,0.0267161410018552,0.0550658744510462,3.606548718301713e-19,0.0020905208053741,199.57333333333327,328.3157894736842,357.0,1,1474,1.5845133734514394,0.9350667620051372,0.1782795986769835,22.43488504728072,825,0.6542470805626753,0.2126743888788944,0.0466078903817759,21.38178030430501,2.074946141395062,3.1601399086696262,0.9849982706940281,0.9898288859638628
土桥,537.3611111111111,D1,0.0045351473922902,0.0112657184085755,0.0406181520227138,1.71008527460791e-33,0.0022512778425785,352.6575342465753,509.6666666666667,298.6111111111111,1,829,3.679299400537471,1.0587167900618386,0.1444275810834145,24.50466158301144,144,3.324502945252734,0.2991094361893224,0.0344018450484977,17.84308543592981,1.4263311058033328,3.029889859034776,1.5994270236482968,0.8615278326095539
复兴门,1218.1666666666667,D0,0.0090702947845804,0.0837456194599051,0.0883110857010282,4.3894148665719855e-12,0.0032797607616609,270.7763157894737,1035.3684210526317,305.3157894736842,2,1991,4.06954349311534,2.0408734550040566,0.242839478354246,3.983319813181096,278,3.941321738032965,0.2080223514298254,0.0217909109461592,21.83057438170104,4.614994681652324,11.222435534041988,0.8844827965989692,0.0
天坛东门,518.9912280701755,D0,0.0045351473922902,0.0618016903731189,0.0813426342863248,2.5116330872435755e-11,0.0019735840026511,540.8684210526316,467.578947368421,321.89473684210526,1,944,4.1460295035186885,1.0024781553483488,0.1919201697815287,2.9594032082029007,111,3.518003953669857,0.1435907371900174,0.0305990580519029,26.29012589369353,2.0358145633424285,3.3524167340004,0.9708231902908014,0.8932450469784606
天安门东,480.7105263157895,D0,0.0045351473922902,0.0379818594104308,0.085633938614816,1.4139251440697322e-14,0.0013977471882997,106.36363636363636,541.2631578947369,542.0526315789474,1,655,3.943293436455303,1.4116968956696498,0.2249744757301448,0.3076882337178452,33,2.6289610024393806,0.1794592948910638,0.0261629317763798,31.192450333353687,1.5727058008928574,3.0440324573963884,0.9370648767092892,0.8821802267754129
